,ag land as percent of land area,ag land,arable land,birth rate,co2 emissions,crop production,death rate,electric power consumption,electricity production from hydroelectric,"electricity production from oil, coal and gas sources",electricity production from renewable sources,energy use,fertility,food production,gdp,GNI per capita,land area,population density,population,ecological footprint,fossil fuels
1981,37.7256716578416,40686843.0,0.264236681318101,27.9195766695048,18726246.898,54.9778865964846,10.1126514954853,1594.32949585909,18.4125449372818,56.296187258958795,0.38063792206134295,1411.87287174716,3.6661254238147905,53.752025908163205,11458466801651.0,2697.07664789096,129719675.4,34.827427944674,4515764583.0,1.1622138304436498,69998.85987
1982,37.876032249941794,40848922.4,0.26249935037600397,28.1162738477108,18562354.0,57.1354667362795,10.0286812029224,1568.9393224568698,18.9344779865062,55.0610885240307,0.48227192042206707,1381.34492778186,3.63668139148359,55.5183683612613,11359275283420.3,2557.99678887439,129719455.4,35.454832907046,4596813158.0,1.14665765920313,69201.04418
1983,37.9433849158732,40921546.4,0.2581489477708,27.509168572550696,18484356.91,55.9774845453938,10.027362308928302,1606.17032230855,19.0374013627418,54.0751654524891,0.5177354309680471,1371.85476938388,3.60335653410021,55.432527965857105,11626735169585.8,2426.25142750613,129719415.4,36.0875978477467,4678525765.0,1.15009570169532,69847.1585
1984,38.21217394877829,41210863.6,0.257387404270075,27.2418533487832,19145865.375,60.6160233992547,9.90393724397907,1677.69453681589,18.4004804660931,53.22886980869821,0.536051497912692,1403.23901583568,3.5719197346073104,58.521460198670205,12065527144144.0,2478.3497362439703,129717926.4,36.7184647040426,4759982360.0,1.17783230209454,72799.67743
1985,38.4912865563382,41511841.0,0.255778193041561,27.2718686567765,19719241.162,61.671963317709796,9.79253781293972,1716.8139537379998,17.8530258301388,52.0880833852067,0.560705520169011,1413.3378792535098,3.54249876235559,59.911918631959296,12679760553174.5,2563.66382437221,129717826.4,37.3606196349278,4843067309.0,1.18844434230375,74278.92839
1986,38.725101502611,41764043.0,0.252717512954196,27.347576535534802,20315356.016,61.8624714393456,9.65135321988911,1740.9362195174301,17.6548783359287,51.47193573420589,0.5995444575581,1415.3470115675598,3.5053337852609503,60.8784570635991,15017456704481.0,2827.30365162424,129717926.4,38.021835238032295,4928822143.0,1.2057199370228702,75717.31727
1987,38.898889543744296,41951434.0,0.248702290971912,27.2884403249346,20817151.963,62.6247963915696,9.51724510950423,1801.3215892975898,16.8826199390514,51.862501900424995,0.604320292029499,1441.70324442263,3.46097989482339,61.485848887488004,17101785642968.5,3297.02857418234,129717836.4,38.6993897163089,5016798785.0,1.2348845229226,78262.84256
1988,39.083892558828396,42150951.0,0.244348243123202,26.800545250717896,21565403.313,63.0523000923273,9.41241585985138,1857.46517594661,16.6318871810463,51.6218255661431,0.603767626717292,1466.99608800186,3.40563420306435,62.5678155574224,19153306033769.8,3895.9094089394202,129717826.4,39.3840493614685,5105701987.0,1.27012137991554,81036.72326
1989,39.219705117228706,42297033.0,0.24075334793986802,26.280476238619197,22029385.156,66.0254711640079,9.285408129201269,1894.8270850846102,15.7113321038672,52.4212831518643,1.10964286086072,1473.4464737272501,3.33286933568029,64.9851127400688,20082829626594.5,4053.0243535076597,129716836.4,40.0700358585063,5194731380.0,1.28462558000708,82772.88618
1990,39.3739977294741,42463432.0,0.237113112574171,25.881758757522203,22149402.399,68.07085743613611,9.2394099777976,2124.7705232232,17.9287420273109,63.1126721207874,1.31201150425118,1660.93076960229,3.2589527635679,67.0849706470916,22573777725713.2,4204.923953475871,129716836.4,40.7665138987309,5284886348.0,1.28627274823729,83435.22502
