Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1977,Earths,0.0151807548988616,0.647019988686891,0.204749313022251,0.0411468823647386,0.159739956755278,0.0946096047930727,1.1624458666128,3A,null
World,º World,1978,Earths,0.0162509516401797,0.650488131815854,0.216212555700618,0.0404771927043731,0.160592901999349,0.0930476147766056,1.1770687163748,3A,null
World,º World,1979,Earths,0.0163982957546555,0.678148208105117,0.214889181941598,0.0407494431465675,0.164551264607663,0.0954835414798509,1.21022006280803,3A,null
World,º World,1980,Earths,0.0164375661878954,0.658076383198876,0.21190736512338,0.0414093480427005,0.163741011473408,0.0968136060660536,1.18838466541775,3A,null
World,º World,1981,Earths,0.0172669937033641,0.627412347280857,0.218389680022257,0.0419755573657186,0.16065198001217,0.0965177437523275,1.16221383044365,3A,null
World,º World,1982,Earths,0.0181655094871834,0.605472989164473,0.227913728297461,0.0419135221056001,0.157959544618326,0.0952331657009402,1.14665765920313,3A,null
World,º World,1983,Earths,0.018119960181528,0.604805316417596,0.223827992598009,0.0421168194638347,0.164831056620365,0.0963946689597823,1.15009570169532,3A,null
World,º World,1984,Earths,0.0193412125952499,0.617401146852804,0.237498207527937,0.0422258541226198,0.166990766426701,0.0943745462021142,1.17783230209454,3A,null
World,º World,1985,Earths,0.0200387584330234,0.623609805218601,0.24425992978476,0.0424048914968436,0.165705774478127,0.0924252958249015,1.18844434230375,3A,null
World,º World,1986,Earths,0.0204262809564821,0.63425026669937,0.24618469361364,0.0441343264578001,0.169511892922497,0.0912115743133206,1.20571993702287,3A,null
World,º World,1987,Earths,0.0208381708024656,0.656001511912018,0.247506643291952,0.046131771876533,0.172979873660229,0.0914254156004291,1.2348845229226,3A,null
World,º World,1988,Earths,0.020635299387637,0.691052799956696,0.241117474305221,0.0481707400632848,0.176405689276821,0.0927399510756773,1.27012137991554,3A,null
World,º World,1989,Earths,0.0218362040519373,0.696329400310952,0.251232455924753,0.0472834875864256,0.17581792773195,0.0921256474152346,1.28462558000708,3A,null
World,º World,1990,Earths,0.0228417412731399,0.692181946148562,0.259104976893896,0.0458199088081118,0.173879439951377,0.0924441730610823,1.28627274823729,3A,null
World,º World,1991,Earths,0.0227424712013079,0.705634352839428,0.254381115576771,0.0457264583731637,0.167522285253426,0.0950772044229239,1.2910841092183,3A,null
World,º World,1992,Earths,0.0232054538839185,0.699220419238652,0.255509684467228,0.0457666878782728,0.161883778711099,0.0940312248996976,1.27961822173608,3A,null
World,º World,1993,Earths,0.0233262616081328,0.703298581712814,0.253126195945378,0.0463104221880209,0.159993866445362,0.093953295364355,1.2800095814697,3A,null
World,º World,1994,Earths,0.0241890511656306,0.704129329114359,0.258763427425608,0.0482572387893402,0.158509724189113,0.0945314244339795,1.28838103982494,3A,null
World,º World,1995,Earths,0.0242528772175195,0.729081815843436,0.255870546020443,0.0507150164356739,0.162205254768459,0.094976477161089,1.3171013481619,3A,null
World,º World,1996,Earths,0.0256017189868759,0.736416756094057,0.26521889909009,0.0508712796014503,0.158085425270465,0.0923890670281288,1.32858261463915,3A,null
World,º World,1997,Earths,0.0261911333225678,0.742090150035992,0.268767463746805,0.0509083648448062,0.161115684607863,0.0914774150200311,1.34055127116404,3A,null
World,º World,1998,Earths,0.0269055982485374,0.736732785197194,0.2731577577254,0.0507192368353089,0.1584445064898,0.0916843921179955,1.33764365070116,3A,null
World,º World,1999,Earths,0.0274748924616625,0.732571300292607,0.275775139225981,0.0507797002114095,0.161125080175751,0.0917906963926459,1.33951784007418,3A,null
World,º World,2000,Earths,0.0278266796728151,0.758250331841265,0.27518330608015,0.0504416223938301,0.166869461645456,0.092780123088318,1.37135110733967,3A,null
World,º World,2001,Earths,0.0285839441184664,0.766551402872486,0.278958101602139,0.0506166299738934,0.160398953535788,0.0925253115244149,1.37763424006137,3A,null
World,º World,2002,Earths,0.0289640216064271,0.779978993460136,0.278510047807112,0.0507544346583988,0.163899078924762,0.092994834576135,1.3951009965013,3A,null
World,º World,2003,Earths,0.0294038894423157,0.826411617561247,0.280682311082738,0.0522717190031059,0.166910409697051,0.0930916353867709,1.448770623081,3A,null
World,º World,2004,Earths,0.0311095721835651,0.859159856262238,0.294447288153283,0.052875707529093,0.166547318589861,0.091213107558444,1.49535230517785,3A,null
World,º World,2005,Earths,0.0311691371250865,0.901527358966536,0.292814906527816,0.0528834491038807,0.169974415808181,0.0913293285282444,1.53969948467946,3A,null
World,º World,2006,Earths,0.0318575442217456,0.938746187139924,0.293646836828812,0.0534168991386086,0.167265602678697,0.0918442934957507,1.57677736350354,3A,null
World,º World,2007,Earths,0.0325943878122473,0.974322453995166,0.297157814960418,0.0524258426066807,0.168180886661527,0.0913895903043212,1.61607154681737,3A,null
World,º World,2008,Earths,0.0339431501049036,0.970458907946559,0.306567000910795,0.0509985652124669,0.157766429942681,0.0896952128817548,1.6094285929332,3A,null
World,º World,2009,Earths,0.0343102808711976,0.953528236973213,0.305946005855497,0.0509069613696496,0.151829283903398,0.0901246611726797,1.5866455394369,3A,null
World,º World,2010,Earths,0.0350384433095857,1.02007543463275,0.308340530790943,0.0509619732257137,0.161509628833599,0.0878123986671681,1.66373954653663,3A,null
World,º World,2011,Earths,0.0356098189690856,1.04150499187302,0.312224680150477,0.0508961653637842,0.164515147744405,0.086358346838961,1.69110983737341,3A,null
World,º World,2012,Earths,0.0356001131013478,1.03639050102566,0.311155842186746,0.0522080242741124,0.16589411579932,0.0877240475920186,1.6889725311755,3A,null
World,º World,2013,Earths,0.037283295348693,1.03107636989237,0.322528861772639,0.0533928739152846,0.164938678228161,0.0859271912090566,1.6951483907254,3A,null
World,º World,2014,Earths,0.0380479267085249,1.01466473263568,0.326993030144404,0.0551706305959845,0.164981486403787,0.0858703334126866,1.68572902066349,3A,null
